,time,Sq_overlap,Sq_overlap_std,Sq_overlap_red_unnorm,Sq_overlap_red_unnorm_std,Red_lcu_suc_prob,Red_lcu_suc_prob_std,total_shots,total_shots0
0,0.05,0.9877850008162663,0.020833186856826415,0.9933598937583001,0.002959670316247217,0.753,0.013637851736985557,1000,1000
1,0.1,0.94995162488972,0.03160996704791174,0.9791304347826087,0.005961328487047498,0.575,0.015632498200863484,1000,1000
2,0.15000000000000002,0.8126685433231905,0.04155695814878173,0.9278846153846154,0.012682774879615997,0.416,0.01558666096378567,1000,1000
3,0.2,0.8149270036484055,0.048816137810392436,0.9111747851002865,0.015228469803090797,0.349,0.01507312177354114,1000,1000
4,0.25,0.5989566165021907,0.05134135515575683,0.8319327731092437,0.024238020876994976,0.238,0.01346684818359515,1000,1000
5,0.30000000000000004,0.6011201574547684,0.056310164677234376,0.8055555555555556,0.026928901800332014,0.216,0.013013224043256921,1000,1000
6,0.35000000000000003,0.517787481446343,0.058285633749029224,0.6585365853658537,0.03311960226435325,0.205,0.0127661662216971,1000,1000
7,0.4,0.3839102298569315,0.05331990462811499,0.6814814814814815,0.04009844107797216,0.135,0.010806248192596726,1000,1000
8,0.45,0.23692316730417604,0.04444739175900173,0.4108527131782946,0.043317178973290696,0.129,0.010599952830083727,1000,1000
9,0.5,0.1884123097148547,0.041114804936741925,0.43478260869565216,0.051683263192787585,0.092,0.00913980306133562,1000,1000
10,0.55,0.16539373955664163,0.038926066566900536,0.3655913978494624,0.04993913797619849,0.093,0.009184280047995052,1000,1000
11,0.6000000000000001,0.09834314006098034,0.02981934951655258,0.273972602739726,0.05219977637171254,0.073,0.008226238508577295,1000,1000
12,0.65,0.058536801437397985,0.021662926699079217,0.13636363636363635,0.0365825024992268,0.088,0.008958571314668427,1000,1000
13,0.7000000000000001,0.062027086511359346,0.02270308724659249,0.18840579710144928,0.047075186965389,0.069,0.008014923580421713,1000,1000
14,0.75,0.06924766801210686,0.023770189154241124,0.20833333333333334,0.047861280389202156,0.072,0.008174105455644672,1000,1000
15,0.8,0.05749539578446344,0.021278932348988436,0.21311475409836064,0.05243213500997451,0.061,0.0075682891065286355,1000,1000
16,0.8500000000000001,0.05034712929338406,0.019272768218057006,0.19672131147540983,0.050897202262446,0.061,0.0075682891065286355,1000,1000
17,0.9,0.059197206446829714,0.020220728314308788,0.19736842105263158,0.04565519043297653,0.076,0.008379976133617566,1000,1000
18,0.9500000000000001,0.08865707139240774,0.024435387529415813,0.2696629213483146,0.04704108056426866,0.089,0.00900438781928011,1000,1000
19,1.0,0.0415039871650805,0.01517674679842254,0.12,0.03249615361854384,0.1,0.009486832980505138,1000,1000
